ticker,name,sector_name,industry,website
COMP80,Company Name 80,Consumer Goods,Industry 9,https://www.comp80.com
COMP81,Company Name 81,Technology,Industry 0,https://www.comp81.com
COMP82,Company Name 82,Financials,Industry 1,https://www.comp82.com
COMP83,Company Name 83,Healthcare,Industry 2,https://www.comp83.com
COMP84,Company Name 84,Energy,Industry 3,https://www.comp84.com
COMP85,Company Name 85,Consumer Goods,Industry 4,https://www.comp85.com
COMP86,Company Name 86,Technology,Industry 5,https://www.comp86.com
COMP87,Company Name 87,Financials,Industry 6,https://www.comp87.com
COMP88,Company Name 88,Healthcare,Industry 7,https://www.comp88.com
COMP89,Company Name 89,Energy,Industry 8,https://www.comp89.com
COMP90,Company Name 90,Consumer Goods,Industry 9,https://www.comp90.com
COMP91,Company Name 91,Technology,Industry 0,https://www.comp91.com
COMP92,Company Name 92,Financials,Industry 1,https://www.comp92.com
