[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP01, Year: 2010, Metric: ROCE, Computed: 6.00%, Benchmark: 15.00% (absolute threshold), Difference: 9.00%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP01, Year: 2019, Metric: Return on Equity, Computed: 1.53%, Pre-computed: 12.50%, Difference: 10.97%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP01, Year: 2020, Metric: ROCE, Computed: 5.46%, Benchmark: 15.00% (absolute threshold), Difference: 9.54%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP01, Year: 2020, Metric: Return on Equity, Computed: 1.52%, Pre-computed: 12.50%, Difference: 10.98%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP01, Year: 2021, Metric: ROCE, Computed: 5.41%, Benchmark: 15.00% (absolute threshold), Difference: 9.59%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP01, Year: 2021, Metric: Return on Equity, Computed: 1.50%, Pre-computed: 12.50%, Difference: 11.00%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP01, Year: 2022, Metric: ROCE, Computed: 5.35%, Benchmark: 15.00% (absolute threshold), Difference: 9.65%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP01, Year: 2022, Metric: Return on Equity, Computed: 1.49%, Pre-computed: 12.50%, Difference: 11.01%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP01, Year: 2023, Metric: ROCE, Computed: 5.30%, Benchmark: 15.00% (absolute threshold), Difference: 9.70%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP01, Year: 2023, Metric: Return on Equity, Computed: 1.47%, Pre-computed: 12.50%, Difference: 11.03%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP02, Year: 2010, Metric: ROCE, Computed: 6.15%, Benchmark: 7.89% (sector-relative financials benchmark), Difference: 1.74%, Description: ROCE is below the benchmark of 7.89%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP02, Year: 2011, Metric: ROCE, Computed: 6.33%, Benchmark: 8.12% (sector-relative financials benchmark), Difference: 1.79%, Description: ROCE is below the benchmark of 8.12%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP02, Year: 2012, Metric: ROCE, Computed: 6.51%, Benchmark: 8.15% (sector-relative financials benchmark), Difference: 1.64%, Description: ROCE is below the benchmark of 8.15%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP02, Year: 2013, Metric: ROCE, Computed: 6.69%, Benchmark: 8.58% (sector-relative financials benchmark), Difference: 1.89%, Description: ROCE is below the benchmark of 8.58%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP02, Year: 2014, Metric: ROCE, Computed: 6.88%, Benchmark: 8.83% (sector-relative financials benchmark), Difference: 1.95%, Description: ROCE is below the benchmark of 8.83%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP02, Year: 2015, Metric: ROCE, Computed: 7.07%, Benchmark: 9.08% (sector-relative financials benchmark), Difference: 2.00%, Description: ROCE is below the benchmark of 9.08%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP02, Year: 2015, Metric: Return on Equity, Computed: 5.89%, Pre-computed: 12.55%, Difference: 6.66%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.436377] [data source issue] Company: COMP02, Metric: ROCE, Computed: 7.07% if calculated, Description: Pre-computed roce_percentage column is missing in companies.xlsx source file.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP02, Year: 2016, Metric: ROCE, Computed: 7.27%, Benchmark: 9.33% (sector-relative financials benchmark), Difference: 2.06%, Description: ROCE is below the benchmark of 9.33%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP02, Year: 2016, Metric: Return on Equity, Computed: 6.06%, Pre-computed: 12.55%, Difference: 6.49%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP02, Year: 2017, Metric: ROCE, Computed: 7.48%, Benchmark: 9.60% (sector-relative financials benchmark), Difference: 2.12%, Description: ROCE is below the benchmark of 9.60%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP02, Year: 2017, Metric: Return on Equity, Computed: 6.23%, Pre-computed: 12.55%, Difference: 6.32%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.436377] [formula discrepancy] Company: COMP02, Year: 2018, Metric: ROCE, Computed: 7.69%, Benchmark: 9.87% (sector-relative financials benchmark), Difference: 2.18%, Description: ROCE is below the benchmark of 9.87%.
[2026-07-16T00:43:28.440088] [formula discrepancy] Company: COMP02, Year: 2018, Metric: Return on Equity, Computed: 6.41%, Pre-computed: 12.55%, Difference: 6.14%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.440088] [formula discrepancy] Company: COMP02, Year: 2019, Metric: ROCE, Computed: 7.91%, Benchmark: 10.15% (sector-relative financials benchmark), Difference: 2.24%, Description: ROCE is below the benchmark of 10.15%.
[2026-07-16T00:43:28.440088] [formula discrepancy] Company: COMP02, Year: 2019, Metric: Return on Equity, Computed: 6.59%, Pre-computed: 12.55%, Difference: 5.96%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.440088] [formula discrepancy] Company: COMP02, Year: 2020, Metric: ROCE, Computed: 8.13%, Benchmark: 10.43% (sector-relative financials benchmark), Difference: 2.30%, Description: ROCE is below the benchmark of 10.43%.
[2026-07-16T00:43:28.440088] [formula discrepancy] Company: COMP02, Year: 2020, Metric: Return on Equity, Computed: 6.78%, Pre-computed: 12.55%, Difference: 5.77%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.440088] [formula discrepancy] Company: COMP02, Year: 2021, Metric: ROCE, Computed: 8.36%, Benchmark: 10.73% (sector-relative financials benchmark), Difference: 2.37%, Description: ROCE is below the benchmark of 10.73%.
[2026-07-16T00:43:28.440088] [formula discrepancy] Company: COMP02, Year: 2021, Metric: Return on Equity, Computed: 6.97%, Pre-computed: 12.55%, Difference: 5.58%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.440088] [formula discrepancy] Company: COMP02, Year: 2022, Metric: ROCE, Computed: 8.60%, Benchmark: 11.03% (sector-relative financials benchmark), Difference: 2.43%, Description: ROCE is below the benchmark of 11.03%.
[2026-07-16T00:43:28.440088] [formula discrepancy] Company: COMP02, Year: 2022, Metric: Return on Equity, Computed: 7.17%, Pre-computed: 12.55%, Difference: 5.38%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.440088] [formula discrepancy] Company: COMP02, Year: 2023, Metric: ROCE, Computed: 8.84%, Benchmark: 11.19% (sector-relative financials benchmark), Difference: 2.35%, Description: ROCE is below the benchmark of 11.19%.
[2026-07-16T00:43:28.440508] [formula discrepancy] Company: COMP02, Year: 2023, Metric: Return on Equity, Computed: 7.37%, Pre-computed: 12.55%, Difference: 5.18%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP03, Year: 2010, Metric: ROCE, Computed: 6.29%, Benchmark: 15.00% (absolute threshold), Difference: 8.71%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP03, Year: 2011, Metric: ROCE, Computed: 6.70%, Benchmark: 15.00% (absolute threshold), Difference: 8.30%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP03, Year: 2012, Metric: ROCE, Computed: 7.15%, Benchmark: 15.00% (absolute threshold), Difference: 7.85%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP03, Year: 2013, Metric: ROCE, Computed: 7.62%, Benchmark: 15.00% (absolute threshold), Difference: 7.38%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP03, Year: 2014, Metric: ROCE, Computed: 8.12%, Benchmark: 15.00% (absolute threshold), Difference: 6.88%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP03, Year: 2015, Metric: ROCE, Computed: 8.66%, Benchmark: 15.00% (absolute threshold), Difference: 6.34%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [data source issue] Company: COMP03, Metric: ROCE, Computed: 8.66% if calculated, Description: Pre-computed roce_percentage column is missing in companies.xlsx source file.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP03, Year: 2016, Metric: ROCE, Computed: 9.23%, Benchmark: 15.00% (absolute threshold), Difference: 5.77%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP03, Year: 2017, Metric: ROCE, Computed: 9.84%, Benchmark: 15.00% (absolute threshold), Difference: 5.16%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP03, Year: 2018, Metric: ROCE, Computed: 10.49%, Benchmark: 15.00% (absolute threshold), Difference: 4.51%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP03, Year: 2019, Metric: ROCE, Computed: 11.18%, Benchmark: 15.00% (absolute threshold), Difference: 3.82%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP03, Year: 2020, Metric: ROCE, Computed: 11.92%, Benchmark: 15.00% (absolute threshold), Difference: 3.08%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP03, Year: 2021, Metric: ROCE, Computed: 12.71%, Benchmark: 15.00% (absolute threshold), Difference: 2.29%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP03, Year: 2021, Metric: Return on Equity, Computed: 18.00%, Pre-computed: 12.60%, Difference: 5.40%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP03, Year: 2022, Metric: ROCE, Computed: 13.55%, Benchmark: 15.00% (absolute threshold), Difference: 1.45%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP03, Year: 2022, Metric: Return on Equity, Computed: 18.82%, Pre-computed: 12.60%, Difference: 6.22%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP03, Year: 2023, Metric: ROCE, Computed: 14.44%, Benchmark: 15.00% (absolute threshold), Difference: 0.56%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP03, Year: 2023, Metric: Return on Equity, Computed: 19.68%, Pre-computed: 12.60%, Difference: 7.08%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP04, Year: 2010, Metric: ROCE, Computed: 6.41%, Benchmark: 15.00% (absolute threshold), Difference: 8.59%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP04, Year: 2011, Metric: ROCE, Computed: 7.08%, Benchmark: 15.00% (absolute threshold), Difference: 7.92%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP04, Year: 2012, Metric: ROCE, Computed: 7.81%, Benchmark: 15.00% (absolute threshold), Difference: 7.19%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP04, Year: 2013, Metric: ROCE, Computed: 8.62%, Benchmark: 15.00% (absolute threshold), Difference: 6.38%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP04, Year: 2014, Metric: ROCE, Computed: 9.52%, Benchmark: 15.00% (absolute threshold), Difference: 5.48%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP04, Year: 2015, Metric: ROCE, Computed: 10.51%, Benchmark: 15.00% (absolute threshold), Difference: 4.49%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [data source issue] Company: COMP04, Metric: ROCE, Computed: 10.51% if calculated, Description: Pre-computed roce_percentage column is missing in companies.xlsx source file.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP04, Year: 2016, Metric: ROCE, Computed: 11.60%, Benchmark: 15.00% (absolute threshold), Difference: 3.40%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP04, Year: 2017, Metric: ROCE, Computed: 12.80%, Benchmark: 15.00% (absolute threshold), Difference: 2.20%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP04, Year: 2018, Metric: ROCE, Computed: 14.13%, Benchmark: 15.00% (absolute threshold), Difference: 0.87%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP04, Year: 2019, Metric: Return on Equity, Computed: 18.41%, Pre-computed: 12.65%, Difference: 5.76%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP04, Year: 2020, Metric: Return on Equity, Computed: 20.32%, Pre-computed: 12.65%, Difference: 7.67%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP04, Year: 2021, Metric: Return on Equity, Computed: 22.43%, Pre-computed: 12.65%, Difference: 9.78%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP04, Year: 2022, Metric: Return on Equity, Computed: 24.76%, Pre-computed: 12.65%, Difference: 12.11%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP04, Year: 2023, Metric: Return on Equity, Computed: 27.33%, Pre-computed: 12.65%, Difference: 14.68%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP05, Year: 2010, Metric: ROCE, Computed: 6.53%, Benchmark: 15.00% (absolute threshold), Difference: 8.47%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP05, Year: 2011, Metric: ROCE, Computed: 7.45%, Benchmark: 15.00% (absolute threshold), Difference: 7.55%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP05, Year: 2012, Metric: ROCE, Computed: 8.51%, Benchmark: 15.00% (absolute threshold), Difference: 6.49%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP05, Year: 2013, Metric: ROCE, Computed: 9.71%, Benchmark: 15.00% (absolute threshold), Difference: 5.29%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.441988] [formula discrepancy] Company: COMP05, Year: 2014, Metric: ROCE, Computed: 11.08%, Benchmark: 15.00% (absolute threshold), Difference: 3.92%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.447062] [formula discrepancy] Company: COMP05, Year: 2015, Metric: ROCE, Computed: 12.65%, Benchmark: 15.00% (absolute threshold), Difference: 2.35%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.447062] [formula discrepancy] Company: COMP05, Year: 2015, Metric: Return on Equity, Computed: 5.41%, Pre-computed: 12.70%, Difference: 7.29%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.447062] [data source issue] Company: COMP05, Metric: ROCE, Computed: 12.65% if calculated, Description: Pre-computed roce_percentage column is missing in companies.xlsx source file.
[2026-07-16T00:43:28.447062] [formula discrepancy] Company: COMP05, Year: 2016, Metric: ROCE, Computed: 14.44%, Benchmark: 15.00% (absolute threshold), Difference: 0.56%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.447062] [formula discrepancy] Company: COMP05, Year: 2016, Metric: Return on Equity, Computed: 6.08%, Pre-computed: 12.70%, Difference: 6.62%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.447062] [formula discrepancy] Company: COMP05, Year: 2017, Metric: Return on Equity, Computed: 6.83%, Pre-computed: 12.70%, Difference: 5.87%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.447062] [formula discrepancy] Company: COMP05, Year: 2018, Metric: Return on Equity, Computed: 7.69%, Pre-computed: 12.70%, Difference: 5.01%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP06, Year: 2010, Metric: ROCE, Computed: 6.63%, Benchmark: 15.00% (absolute threshold), Difference: 8.37%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP06, Year: 2011, Metric: ROCE, Computed: 6.57%, Benchmark: 15.00% (absolute threshold), Difference: 8.43%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP06, Year: 2012, Metric: ROCE, Computed: 6.51%, Benchmark: 15.00% (absolute threshold), Difference: 8.49%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP06, Year: 2013, Metric: ROCE, Computed: 6.45%, Benchmark: 15.00% (absolute threshold), Difference: 8.55%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP06, Year: 2014, Metric: ROCE, Computed: 6.38%, Benchmark: 15.00% (absolute threshold), Difference: 8.62%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP06, Year: 2015, Metric: ROCE, Computed: 6.32%, Benchmark: 15.00% (absolute threshold), Difference: 8.68%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.447465] [data source issue] Company: COMP06, Metric: ROCE, Computed: 6.32% if calculated, Description: Pre-computed roce_percentage column is missing in companies.xlsx source file.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP06, Year: 2016, Metric: ROCE, Computed: 6.26%, Benchmark: 15.00% (absolute threshold), Difference: 8.74%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP06, Year: 2017, Metric: ROCE, Computed: 6.21%, Benchmark: 15.00% (absolute threshold), Difference: 8.79%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP06, Year: 2018, Metric: ROCE, Computed: 6.15%, Benchmark: 15.00% (absolute threshold), Difference: 8.85%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP06, Year: 2018, Metric: Return on Equity, Computed: 7.68%, Pre-computed: 12.75%, Difference: 5.07%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP06, Year: 2019, Metric: ROCE, Computed: 6.09%, Benchmark: 15.00% (absolute threshold), Difference: 8.91%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP06, Year: 2019, Metric: Return on Equity, Computed: 7.61%, Pre-computed: 12.75%, Difference: 5.14%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP06, Year: 2020, Metric: ROCE, Computed: 6.03%, Benchmark: 15.00% (absolute threshold), Difference: 8.97%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP06, Year: 2020, Metric: Return on Equity, Computed: 7.54%, Pre-computed: 12.75%, Difference: 5.21%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP06, Year: 2021, Metric: ROCE, Computed: 5.97%, Benchmark: 15.00% (absolute threshold), Difference: 9.03%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP06, Year: 2021, Metric: Return on Equity, Computed: 7.47%, Pre-computed: 12.75%, Difference: 5.28%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP06, Year: 2022, Metric: ROCE, Computed: 5.92%, Benchmark: 15.00% (absolute threshold), Difference: 9.08%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP06, Year: 2022, Metric: Return on Equity, Computed: 7.40%, Pre-computed: 12.75%, Difference: 5.35%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP06, Year: 2023, Metric: ROCE, Computed: 5.86%, Benchmark: 15.00% (absolute threshold), Difference: 9.14%, Description: ROCE is below the benchmark of 15.00%.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP06, Year: 2023, Metric: Return on Equity, Computed: 7.33%, Pre-computed: 12.75%, Difference: 5.42%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP07, Year: 2010, Metric: ROCE, Computed: 6.73%, Benchmark: 7.89% (sector-relative financials benchmark), Difference: 1.17%, Description: ROCE is below the benchmark of 7.89%.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP07, Year: 2011, Metric: ROCE, Computed: 6.92%, Benchmark: 8.12% (sector-relative financials benchmark), Difference: 1.20%, Description: ROCE is below the benchmark of 8.12%.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP07, Year: 2012, Metric: ROCE, Computed: 7.11%, Benchmark: 8.15% (sector-relative financials benchmark), Difference: 1.03%, Description: ROCE is below the benchmark of 8.15%.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP07, Year: 2013, Metric: ROCE, Computed: 7.31%, Benchmark: 8.58% (sector-relative financials benchmark), Difference: 1.27%, Description: ROCE is below the benchmark of 8.58%.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP07, Year: 2014, Metric: ROCE, Computed: 7.52%, Benchmark: 8.83% (sector-relative financials benchmark), Difference: 1.30%, Description: ROCE is below the benchmark of 8.83%.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP07, Year: 2015, Metric: ROCE, Computed: 7.73%, Benchmark: 9.08% (sector-relative financials benchmark), Difference: 1.34%, Description: ROCE is below the benchmark of 9.08%.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP07, Year: 2015, Metric: Return on Equity, Computed: 5.59%, Pre-computed: 12.80%, Difference: 7.21%, Description: Computed ROE differs from pre-computed ratios.xlsx roe by > 5%.
[2026-07-16T00:43:28.447465] [data source issue] Company: COMP07, Metric: ROCE, Computed: 7.73% if calculated, Description: Pre-computed roce_percentage column is missing in companies.xlsx source file.
[2026-07-16T00:43:28.447465] [formula discrepancy] Company: COMP07, Year: 2016, Metric: ROCE, Computed: 7.95%, Benchmark: 9.33% (sector-relative financials benchmark), Difference: 1.38%, Description: ROCE is below the benchmark of 9.33%.
